Postal code,Area,Health Unit
M1B,Scarborough South,Toronto
M1C,Scarborough South,Toronto
M1E,Scarborough South,Toronto
M1G,Scarborough South,Toronto
M1H,Scarborough South,Toronto
M1J,Scarborough South,Toronto
M1K,Scarborough South,Toronto
M1M,Scarborough South,Toronto
M1P,Scarborough South,Toronto
M1R,Scarborough South,Toronto
M1X,Scarborough South,Toronto
M2J,North York Central,Toronto
M2M,North York Central,Toronto
M2R,North York Central,Toronto
M3A,North York Central,Toronto
M3C,North York Central,Toronto
M3H,North York Central,Toronto
M4A,North York Central,Toronto
M3J,North York West,Toronto
M3K,North York West,Toronto
M3L,North York West,Toronto
M3M,North York West,Toronto
M3N,North York West,Toronto
M6B,North York West,Toronto
M6L,North York West,Toronto
M6M,North York West,Toronto
M9L,North York West,Toronto
M9M,North York West,Toronto
M9N,North York West,Toronto
M9P,North York West,Toronto
M4X,Mid-east Toronto,Toronto
M5A,Mid-east Toronto,Toronto
M5B,Mid-east Toronto,Toronto
M5N,North Toronto,Toronto
M6A,North Toronto,Toronto
M5V,Mid-west Toronto,Toronto
M6E,Mid-west Toronto,Toronto
M6H,Mid-west Toronto,Toronto
M6K,West Toronto,Toronto
M6N,West Toronto,Toronto
M8V,West Toronto,Toronto
M9A,South Etobicoke,Toronto
M9B,South Etobicoke,Toronto
M9C,South Etobicoke,Toronto
M9R,North Etobicoke Malton West Woodbridge,Toronto
M9V,North Etobicoke Malton West Woodbridge,Toronto
M9W,North Etobicoke Malton West Woodbridge,Toronto
M1L,East Toronto,Toronto
M4H,East Toronto,Toronto
M1S,Scarborough North,Toronto
M1T,Scarborough North,Toronto
M1V,Scarborough North,Toronto
M1W,Scarborough North,Toronto
L4T,North Etobicoke Malton West Woodbridge,Peel
L4W,East Mississauga,Peel
L4X,East Mississauga,Peel
L4Z,East Mississauga,Peel
L5A,East Mississauga,Peel
L5B,East Mississauga,Peel
L5R,East Mississauga,Peel
L5C,South West Mississauga,Peel
L5K,South West Mississauga,Peel
L5L,South West Mississauga,Peel
L5M,North West Mississauga,Peel
L5N,North West Mississauga,Peel
L5V,North West Mississauga,Peel
L5W,North West Mississauga,Peel
L6P,Bramalea,Peel
L6R,Bramalea,Peel
L6S,Bramalea,Peel
L6T,Bramalea,Peel
L7C,Bramalea,Peel
L6V,Brampton,Peel
L6W,Brampton,Peel
L6X,Brampton,Peel
L6Y,Brampton,Peel
L6Z,Brampton,Peel
L7A,Brampton,Peel
L0J,Western York Region,York
L4B,Western York Region,York
L4E,Western York Region,York
L4H,Western York Region,York
L4J,Western York Region,York
L4K,Western York Region,York
L4L,Western York Region,York
L6A,Western York Region,York
L3S,Eastern York Region,York
L3T,Eastern York Region,York
L6B,Eastern York Region,York
L6C,Eastern York Region,York
L6E,Eastern York Region,York
L1S,Durham West,Durham
L1T,Durham West,Durham
L1V,Durham West,Durham
L1X,Durham West,Durham
L1Z,Durham West,Durham
L9E,Milton,Halton
L8W,Hamilton,Hamilton
L9C,Hamilton,Hamilton
L2G,Niagara,Niagara
L3Z,South Simcoe,Simcoe-Muskoka
N2C,Waterloo,Waterloo
N1K,Guelph-Puslinch,Wellington-Dufferin-Guelph
N8X,Windsor,Windsor-Essex
N8Y,Windsor,Windsor-Essex
N9A,Windsor,Windsor-Essex
N9B,Windsor,Windsor-Essex
N9C,Windsor,Windsor-Essex
N8H,Essex South Shore,Windsor-Essex
N9Y,Essex South Shore,Windsor-Essex
N5H,Elgin,Southwestern
K1T,Central Ottawa,Ottawa
K1V,Central Ottawa,Ottawa
K2V,Western Ottawa,Ottawa